tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,year,wl,ll,rnd,_yr,Tournament,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL,pin_prob_w,pin_prob_l,b365_prob_w,max_prob_w,avg_prob_w,odds_consensus_w,pin_log_odds,b365_log_odds
2004-338,Sydney,Hard,32.0,250,O,2004-01-12,31.0,H432,7.0,,Lleyton Hewitt,R,178.0,AUS,22.88,15.0,1450.0,M605,3.0,,Carlos Moya,R,191.0,ESP,27.376,7.0,2380.0,4-3 RET,3,F,33.0,4.0,2.0,27.0,16.0,14.0,5.0,3.0,2.0,2.0,4.0,0.0,19.0,8.0,6.0,6.0,4.0,0.0,1.0,2004,hewitt,moya,F,2004,adidas International,1.615,2.2,1.667,2.34,,,,,,,0.5839780384327427,0.41602196156725735,0.5766710353866317,,,,-0.3391253256009531,-0.3091224036896504
2004-301,Auckland,Hard,32.0,250,O,2004-01-12,10.0,C400,,,Gregory Carraz,R,191.0,FRA,28.761,65.0,534.0,B804,,,Karol Beck,R,180.0,SVK,21.777,62.0,545.0,6-4 6-7(3) 6-3,3,R32,142.0,14.0,16.0,117.0,69.0,54.0,17.0,16.0,10.0,13.0,6.0,3.0,125.0,68.0,45.0,26.0,15.0,15.0,20.0,2004,carraz,beck,R2,2004,Indesit ATP Milano Indoor ,2.2,1.615,2.29,1.69,,,,,,,0.42462311557788945,0.5753768844221105,0.4233289646133682,,,,0.3038232886311662,0.30912240368965044
2004-301,Auckland,Hard,32.0,250,O,2004-01-12,1.0,C524,1.0,,Guillermo Coria,R,175.0,ARG,21.996,5.0,3330.0,K316,,,Nicolas Kiefer,R,183.0,GER,26.522,57.0,616.0,7-6(4) 6-3,3,R32,96.0,2.0,2.0,68.0,35.0,24.0,21.0,11.0,2.0,4.0,6.0,5.0,64.0,30.0,23.0,15.0,10.0,4.0,7.0,2004,coria,kiefer,R2,2004,Monte Carlo Masters,1.1,6.5,1.103,8.25,,,,,,,0.8820699240885277,0.11793007591147227,0.8552631578947368,,,,-2.0121794600752243,-1.7764919970972666
2004-580,Australian Open,Hard,128.0,G,O,2004-01-19,90.0,F196,31.0,,Wayne Ferreira,R,185.0,RSA,32.345,25.0,1125.0,S677,,,David Sanchez,R,183.0,ESP,25.749,50.0,736.0,2-6 6-3 6-4 6-4,5,R64,138.0,8.0,2.0,123.0,85.0,56.0,21.0,19.0,4.0,7.0,1.0,1.0,119.0,76.0,50.0,21.0,18.0,9.0,13.0,2004,ferreira,sanchez,R1,2004,TD Waterhouse Cup,1.333,3.25,1.351,3.45,,,,,,,0.7186002916059154,0.28139970839408457,0.7091424830896792,,,,-0.9375291720652067,-0.8912229551450745
2004-580,Australian Open,Hard,128.0,G,O,2004-01-19,127.0,F324,2.0,,Roger Federer,R,185.0,SUI,22.448,2.0,4375.0,S741,,,Marat Safin,R,193.0,RUS,23.978,86.0,430.0,7-6(3) 6-4 6-2,5,F,135.0,8.0,2.0,90.0,48.0,36.0,25.0,15.0,1.0,3.0,3.0,5.0,116.0,57.0,36.0,28.0,15.0,13.0,18.0,2004,federer,safin,F,2004,Australian Open,1.4,3.0,1.444,3.0,,,,,,,0.6750675067506752,0.32493249324932494,0.6818181818181818,,,,-0.7311952481974752,-0.7621400520468968
2004-580,Australian Open,Hard,128.0,G,O,2004-01-19,126.0,F324,2.0,,Roger Federer,R,185.0,SUI,22.448,2.0,4375.0,F316,3.0,,Juan Carlos Ferrero,R,183.0,ESP,23.934,3.0,4145.0,6-4 6-1 6-4,5,SF,89.0,11.0,1.0,83.0,60.0,50.0,10.0,14.0,4.0,4.0,6.0,0.0,71.0,41.0,27.0,16.0,13.0,2.0,6.0,2004,federer,ferrero,SF,2004,Australian Open,1.286,3.75,1.299,4.05,,,,,,,0.7571508693213684,0.2428491306786315,0.7446386020651311,,,,-1.1371221434299854,-1.0702192141668918
2004-580,Australian Open,Hard,128.0,G,O,2004-01-19,125.0,S741,,,Marat Safin,R,193.0,RUS,23.978,86.0,430.0,A092,4.0,,Andre Agassi,R,180.0,USA,33.725,4.0,3425.0,7-6(6) 7-6(6) 5-7 1-6 6-3,5,SF,222.0,33.0,0.0,161.0,88.0,68.0,41.0,26.0,4.0,8.0,10.0,2.0,180.0,107.0,81.0,38.0,26.0,5.0,7.0,2004,safin,agassi,SF,2004,Australian Open,3.25,1.364,3.35,1.392,,,,,,,0.293547026571067,0.706452973428933,0.29562201993931514,,,,0.8782187839247473,0.8682334369203756
2004-580,Australian Open,Hard,128.0,G,O,2004-01-19,124.0,F324,2.0,,Roger Federer,R,185.0,SUI,22.448,2.0,4375.0,N301,8.0,,David Nalbandian,R,180.0,ARG,22.048,8.0,2060.0,7-5 6-4 5-7 6-3,5,QF,161.0,20.0,3.0,127.0,76.0,63.0,22.0,22.0,8.0,11.0,5.0,2.0,117.0,76.0,52.0,25.0,21.0,7.0,12.0,2004,federer,nalbandian,QF,2004,Australian Open,1.533,2.375,1.613,2.45,,,,,,,0.6030027073590943,0.3969972926409057,0.607727737973388,,,,-0.41799222541356396,-0.4377708375969275
2004-580,Australian Open,Hard,128.0,G,O,2004-01-19,123.0,F316,3.0,,Juan Carlos Ferrero,R,183.0,ESP,23.934,3.0,4145.0,A226,,,Hicham Arazi,L,175.0,MAR,30.251,51.0,698.0,6-1 7-6(6) 7-6(5),5,QF,156.0,18.0,1.0,129.0,73.0,55.0,30.0,16.0,8.0,10.0,2.0,5.0,106.0,69.0,49.0,16.0,15.0,4.0,8.0,2004,ferrero,arazi,QF,2004,Australian Open,1.286,3.5,1.352,3.49,,,,,,,0.7207765386204049,0.27922346137959525,0.7312996239030507,,,,-0.9483167585935635,-1.0012263426799404
2004-580,Australian Open,Hard,128.0,G,O,2004-01-19,122.0,A092,4.0,,Andre Agassi,R,180.0,USA,33.725,4.0,3425.0,G379,9.0,,Sebastien Grosjean,R,175.0,FRA,25.643,10.0,1630.0,6-2 2-0 RET,5,QF,44.0,4.0,0.0,30.0,20.0,15.0,6.0,5.0,0.0,0.0,4.0,1.0,45.0,25.0,16.0,5.0,5.0,5.0,8.0,2004,agassi,grosjean,QF,2004,Australian Open,1.167,4.5,1.233,4.8,,,,,,,0.7956240676280457,0.20437593237195426,0.7940709370037058,,,,-1.3591656937316379,-1.349641043471855
